keyword,title,type,mid
mieszkania,Wynajem mieszkania,Temat,/g/11rj_njvsp
wynajem,Wynajem kontenerów na odpady,Temat,/g/11q4c9js4r
wynajem,Wynajem dmuchanych domków,Temat,/g/11sr9_rf_6
wynajem,Wynajem apartamentów,Temat,/g/11q3q4l53b
apartment,Mieszkanie,Temat,/m/01nblt
apartment,Nick Bare,Temat,/g/11xd4blt45
dom,Dom,Temat,/m/01l0mw
kavalerka,Kavalerka,Temat,/g/11yrzy3nf_
kavalerka,Kavalerka,Temat,/g/1ymwk73t8
kavalerka,Kavalerka,Temat,/g/1ymvnft9c
kavalerka,Reka Kavalerka,Temat,/g/11bw864dqn
pokoje,Stancje Lublin - Mieszkania i Pokoje do wynajęcia,Temat,/g/1q5ccfz7k
